Czech,English,,,
spolupracovník (výslovnost),colleague ,,20/1/25,
uchazeč,applicant,,,
Knihovna – slovník – slovní zásoba,library – dictionary - vocabulary,,,
"kamarád, který…",a friend who…,,,
položit otázku,ask a question,,,
bitva (výslovnost),battle ,,,
medvěd  (výslovnost),bear ,,,
"menší, levnější, srandovnější","smaller, cheaper, funnier",,,
Zavináč @,at,,,
tečka (v internetové adrese .com),dot,,,
"tři celých dva (3,2)",three point two ,,,
,,,,
,,,,
farmaceutická společnost,pharmaceutical company,,25/1/25,
společnost byla založena,the company was founded,,,
Švýcarsko,Switzerland,,,
a tak dále,and so on,,,
pobočka,a branch ,,,
v Evropě,in Europe,,,
v České republice,in the Czech Republic,,,
musím jít,I must go,,,
začátek 90. ​​let (devadesátá léta),early 90s ,,,
abychom se podívali na jejich problémy,to look at their problems,,,
v pondělí,on Monday,,,
trávit čas,spend time,,,
faktura,invoice,,,
může to fungovat,it can work,,,
výskyt,incidence,,,
úmrtnost,mortality,,,
lék je indikován… (předepsán na),the drug is indicated for…,,,
léčba,treatment,,,
onemocnění,condition,,,
choroba,disease,,,
adjuvans – podpůrná léčba,adjuvant,,,
kardiovaskulární,cardiovascular,,,
respirační,respiratory,,,
kyselina hyaluronová,hyaluronic acid,,,
mukolytický (na odkašlávání),mucolytic,,,
uro gynekologie,uro gynaecology,,,
léčebné oblasti,thereapeutic areas,,,
osteoartikulární (kosti a klouby),osteoarticular,,,
obrat (finanční),turnover,,,
dceřinná společnost,subsidiary,,,
data jsou,the data is or are,,,
zástupci,representatives,,,
Italové žijí v Itálii,Italians live in Italy,,,
dvě ženy,two women,,,
Umím zpívat,I can sing,,,
deka,blanket,,,
lék,medicine,,,
zánět,inflammation,,,
největší producent,the biggest producer,,,
podávat léky,to admiister medicine,,,
dodržování norem,compliance of norms,,,
,,,,
,,,,
vedoucí oddělení,head of the department,,10/2/25,
náčelník kmene,chief of the tribe,,,
děrné štítky,punch cards,,,
